"TAX","Tax","GOV","Government","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2015","2015","GBP","Pound Sterling","0","Units",,,3087,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2016","2016","GBP","Pound Sterling","0","Units",,,3327,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2017","2017","GBP","Pound Sterling","0","Units",,,3427,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2018","2018","GBP","Pound Sterling","0","Units",,,3335,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2019","2019","GBP","Pound Sterling","0","Units",,,3343,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2020","2020","GBP","Pound Sterling","0","Units",,,2896,,
"5110","5110 General taxes","SUPRA","Supranational","1973","1973","GBP","Pound Sterling","0","Units",,,-222,,
"5110","5110 General taxes","SUPRA","Supranational","1974","1974","GBP","Pound Sterling","0","Units",,,-329,,
"5110","5110 General taxes","SUPRA","Supranational","1975","1975","GBP","Pound Sterling","0","Units",,,-189,,
"5110","5110 General taxes","SUPRA","Supranational","1976","1976","GBP","Pound Sterling","0","Units",,,-185,,
"5110","5110 General taxes","SUPRA","Supranational","1977","1977","GBP","Pound Sterling","0","Units",,,-97,,
"5110","5110 General taxes","SUPRA","Supranational","1978","1978","GBP","Pound Sterling","0","Units",,,-25,,
"5110","5110 General taxes","SUPRA","Supranational","1979","1979","GBP","Pound Sterling","0","Units",,,1,,
"5110","5110 General taxes","SUPRA","Supranational","1980","1980","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1981","1981","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1982","1982","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1983","1983","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1984","1984","GBP","Pound Sterling","0","Units",,,0,,
